block,tx,token,bnb_in,tokens_out,mcap_d_usd,mcap_n2_usd,mcap_low_usd,mcap_ath_usd,ath_offset_blocks,post_buy_points,ath_mult_vs_d,ath_mult_vs_n2,dd_mult_vs_n2
96509681,0x7fac6b97b10db3e0ff3724ad91a34f1860a715845260b9cfd9e490f4989a348b,0x7bece81ab03372f4604a561a66c04a027cc14444,0.683100,64080919.40,6716,10109,10091,13596,19,187,2.02,1.34,1.00
96510149,0x8d5a3f59240b1c1d099d02ec0c9c586bc35062810795b9b37ce618bc7a857cd7,0x5e7c1bcfe00a0a3fe6c4c2a85ead2c8e135b4444,0.683100,77375849.14,5562,8500,8500,13571,9,101,2.44,1.60,1.00
96510222,0xb7ffc52951d32c848c2f9bb29f43512574cbd10610766e8d8586a78de73948e1,0x57bfba6261f2cca23c9f0ae4990990b672f84444,0.683100,29430214.86,14623,17080,17080,23825,1,156,1.63,1.39,1.00
96511155,0x31ce3b597ad6f0033d979b422add50b7c13660832511b1bad64deef4d340beac,0xa4b79ddc047d301e1cfa21e1d4b524d1260e4444,0.683100,64909272.93,6630,10853,10853,55889,13,136,8.43,5.15,1.00
96511158,0xa1260ceb3aa1365f2e807f5f0148cbfb0f44e2504b25173bcd294dd531832e44,0xa4b79ddc047d301e1cfa21e1d4b524d1260e4444,0.683100,33089476.78,13006,18567,18567,55889,10,121,4.30,3.01,1.00
96511449,0x8cfdc0cf1a23003464d66b7daea3aba306c6ea45e2fc7dab9b08b0edb96db01c,0x460b51e30ac278e695079f1df833c63dd2534444,0.495000,42069679.98,7413,12019,12019,12019,2,15,1.62,1.00,1.00
96511978,0x80b45bab76e95d6676a80e0b04968e21d4358411c27242e74e1849c6647defd5,0xf08a9f2385ea62d0569f322dd1a407fb34cf4444,0.683100,76938195.33,5593,11461,11461,31725,13,576,5.67,2.77,1.00
96515886,0xc4b582ef42cd11f7a79bb087dbd99ba512c0e76a3aad1e276faff218c073937a,0x7bece81ab03372f4604a561a66c04a027cc14444,0.495000,39771552.60,7841,13858,13858,15634,1,91,1.99,1.13,1.00
96519764,0xeae2aa48344d99383fcc5992e3c789ccba7487686e03de051d96fcd5571f102c,0x93a9daa25b6c4c121b5161bddb8e9cd578224444,0.683100,92970268.20,4629,7623,7623,11677,25,89,2.52,1.53,1.00
96520980,0x4bab212da346b7969cb16202762cbdf04cefefc9545733246a1bce122f2f063c,0x685b166ec4c3114b898979e80886ac6d9eaeffff,0.683100,79920895.32,5385,8551,8551,8551,2,21,1.59,1.00,1.00
96521059,0x65a5a6873df9fc4a65d9909a30e50380456ada05001279194550e1c02523fb86,0x2a0175aadbfb2db91aaba8013fbb5ff24492ffff,0.683100,35873055.71,11997,14806,13797,21166,5,337,1.76,1.43,0.93
96539305,0x1e5f5f9a4f10884f625cb59aee8cf45d7105b9e68ff63b924aae61287d8ef1d4,0x89937972592fac6c24bed6d7fcab5ffd92264444,0.683100,86960194.74,4949,7672,7672,7814,2,39,1.58,1.02,1.00
96548092,0x59fd730f9b1cd4eb75b27a4310bbe41380a81e1202ee6a870944d832cabe112e,0x61cd06799478689ab7b0ff4fa2db929c04324444,0.683100,60717526.77,7088,10040,7017,15753,2155,182,2.22,1.57,0.70
96549208,0xe25351f6256b099a51a8047d59a76d65360cef2dfafb7063da4ca852224c6f59,0x22bb43576955726e85418c320caa325b99364444,0.683100,32973699.68,13051,17918,13850,34299,614,947,2.63,1.91,0.77
96632275,0x716da0322f5777ba412f7b2f9c38948347940a455c3c0ee5495e3545caa8dfd0,0x64fa7f75d769a559a76c37a83255ba3a0b954444,0.683100,36830138.97,11685,15247,14144,33051,2738,819,2.83,2.17,0.93
96634756,0xaa3883bfa16c01c9683e102d711983e0215e01d8a35ec90e4a3f9ab04b56f0d1,0x479b19544c8888b1efec169cadd4bfa4a13a4444,0.683100,62286855.54,6909,9324,6888,12455,119,192,1.80,1.34,0.74
96659636,0x15d01798e63ca10588c26f4efb726a6f5b90293e13001d370b7f6a315c0e1aa9,0x424d96dcfb58f6d48a9ec581712df9600d684444,0.683100,85664546.60,5024,8587,7308,18489,56,191,3.68,2.15,0.85
96660209,0xd33301b68ccd5610432cfaf38940cc54b1ee563d5b85fe251db94b54e8ec46cc,0x827077b2490f8225e219e3be75e66df47de44444,0.990000,41078281.74,15183,19456,18307,23661,18,157,1.56,1.22,0.94
96661191,0xd40e6c4aea8dbd6525d23d1117793cc934d4dba46acf6edd8b05c9e61a1f6d7d,0x27b8d57c9e412757af6d7efabcbb637224f14444,0.990000,74942281.22,8322,12443,10998,55051,30,151,6.61,4.42,0.88
96662838,0xd9020bf724374f7fe0a4210f4ac15998d8836fbe92ae14daacb175c46f5b0ca7,0xa51b6bd9011a5c72a4599a2f17620af849324444,0.683100,68489369.37,6284,8613,8613,10555,1,24,1.68,1.23,1.00
96662857,0xbd49f94b70507896efd76a5f108c400b37225f9825bd66535c8382aea9153534,0x06561f40f21954232a80de814e870f360daf4444,0.683100,91656405.40,4695,7583,7583,8902,9,97,1.90,1.17,1.00
96662870,0xd3c6078a2d20461bebae03df65866124a3d53e32229f8629c2b3424ccdc01ca3,0x06561f40f21954232a80de814e870f360daf4444,0.049500,3829619.10,8143,8061,8061,8566,0,84,1.05,1.06,1.00
96667184,0x76e6f13ab195228f4567f7443af2dfb4a6664295c3f1baa782aa75a82cdc57d6,0x13a687f766f8d00fa40301d08f55276f39174444,0.683100,63082718.53,6822,10387,9166,12057,33,102,1.77,1.16,0.88
96670884,0x49271ea85aafec677ff626d04431f8545f2e7550ce069f26553943297160615f,0xb6c9318aeae30a348573559a28c222e448824444,2.970000,121720281.49,15372,23450,23450,52031,5,61,3.38,2.22,1.00
96677785,0x4d812b75aea8f7e3cb7cf5cc3cbeb7793e3338a89df17e9e8df5bcd51cb586af,0xfffed044efa7c973a39475f235d7fbd71ba34444,1.485000,21915653.86,42689,45648,45648,54627,2,27,1.28,1.20,1.00
96680314,0xb1763f5e630efbb3ebb1bf7c4c49a724e7dbe2507a15a923c4a7da5638fba651,0x4ee40f2681463631db040e97478965634b224444,0.683100,91656405.40,4695,7795,5663,9106,25,47,1.94,1.17,0.73
96680380,0x020b9f593f129bc7514ecf4fd924f0f71515eae95c5876fa6bd0997573d649ba,0xb74cf9a95eda650bb72f5fdd289e01645b2a4444,0.683100,76498147.46,5626,9809,9809,19014,22,295,3.38,1.94,1.00
96683860,0x0d872af6dcef591ec11ef4cb600732ed236c80650d68e1730180397306841cac,0xfc609c26ab53f813d3c163d833942a372cba4444,0.320074,24363045.91,8277,11778,10949,13586,53,52,1.64,1.15,0.93
96684872,0xfc0d1f22a202f033b163c624620746d35e7b0d0d8ac74944d15c62a35daf9888,0xac6c9a6d237af8fd16e1377fbde13bd9f9d44444,0.683100,82345211.96,5226,12705,12705,17021,4,61,3.26,1.34,1.00
96684873,0x54b589f2e86437916537eb2928a4f1adbbeb820a0366d0cf51d24a3355ebc625,0xac6c9a6d237af8fd16e1377fbde13bd9f9d44444,0.683100,38219573.74,11260,15086,15086,17021,3,59,1.51,1.13,1.00
96685993,0x51b7f080c1ee60015e4da6c4273da3dedddf3b5e0afa7b03d908b0a78f561343,0x18ce97d189c0bb4b041380c49bd381842ac44444,0.683100,27677642.02,15549,24345,18707,35039,309,918,2.25,1.44,0.77
96708031,0x3d0a90ff3064cd13d713d4fbb9b26c55566adb62602b92b131ee2899b66d0c65,0xeba859190bf2b9e94c27d1dcc63a68dc613a4444,0.683100,61686037.73,6977,14899,8678,31058,24,268,4.45,2.08,0.58
96708173,0xf073aa289fecd1384f1485906af3dcda7d075d69ab2d1138770eb86fd496fbd1,0x3efef415b6bc411df570d4e624c92807d28d4444,0.990000,56375808.09,11063,19124,17055,29168,18,144,2.64,1.53,0.89
96708811,0xb8fa58f77274357264d2410503dc959f36ab7b3b09b447347766bbfc866dbd10,0xfb236f587aa1bfcf04822388aee2883a1da14444,0.683100,49043980.66,8775,14277,10233,20486,17,114,2.33,1.43,0.72
96815840,0xd3a5cdc23ce68e7bba55e1fa6ccd73da837c96145dc11d541e3b01b7f0731db8,0xaed6160b2fd8735dee5a8a80a487f6f771404444,0.495000,20025646.42,15573,21026,17058,22654,1079,132,1.45,1.08,0.81
96821587,0xb08fe2140ea9ae4c3e5cc4ea2170442bdd6fbe89d6b1cc1537a03c9b8a2e3ad6,0x8ed916bd7734a370a76b2da1aef3db38341e4444,0.360647,45269470.62,5019,7116,6890,7805,815,41,1.56,1.10,0.97
96837710,0x845065247eef232c527c9fe4d97f826df5fd302498ec0b278ace6c833df6ffd1,0x5b30197a9383dd071247f60ebbf018f4d24e4444,0.683100,68568193.44,6276,8380,8380,11114,1,58,1.77,1.33,1.00
96837780,0x0b6a29113d698b969c2990a062286d01c74fcf69725ce253027bac89c0b837e0,0x5b30197a9383dd071247f60ebbf018f4d24e4444,0.049500,6775532.94,4603,5158,5158,5457,17,28,1.19,1.06,1.00
96863370,0xc51487888b492849f2055d3365703c6d44ef2a26b5e627ff40df965bb5be6555,0xaed20c65e299ec3927805bb0de1b07e389a14444,1.485000,31937971.40,29293,41077,31028,56016,45,224,1.91,1.36,0.76
96867022,0x313bfe8e01b10787251089a5917176801df8ebda5d7a9561dbdf12766d769bcc,0x406c203adbef18c3c5b4a1cf2654099768104444,0.683100,91527851.46,4702,7338,5946,11881,29,112,2.53,1.62,0.81
96871884,0x1d683855c57da756dda00c150712ac692127d847a9c0215218e040c94b4c24c9,0xd25718e0801d872cca1379d57ddc631b56e04444,0.495000,38600861.39,8079,9059,8650,11514,79,39,1.43,1.27,0.95
96881958,0x601d24c84ec00db3736beaf98f8ca2a1dba1bb02c4549b75b8bb113c3541c1d9,0xcdbfbe07c8e2091260c9836d33851e9d89934444,0.683100,90757826.46,4742,8230,7519,17492,30,132,3.69,2.13,0.91
96892606,0x0fdf479a392d7b58b50325ef0dd5f67200960f7dece221d5cbb9997a71975de2,0xb1a3e0fd84a203e26c41c96a30ba110f7f874444,0.683100,58849221.75,7313,11523,8836,48298,264,900,6.60,4.19,0.77
96892606,0x62d3e1d146290a9746bb5f1c3aae9688c6df14314af65daac202d44866533a0b,0xb1a3e0fd84a203e26c41c96a30ba110f7f874444,0.683100,47146176.88,9128,11523,8836,48298,264,900,5.29,4.19,0.77
96892727,0xa0962973381aa8f6e71fc06eed87750bc3b90d8438dd64f88bd5b3441feb4a79,0x3ea823a8bc35894a41a3676165b1b50701b8ffff,0.683100,95781390.64,4493,7882,7882,7882,2,22,1.75,1.00,1.00
96893015,0x56687f9e9da80a6152e0cc7440e0f55db32852d719c76c92247cecd8dbc5e1e7,0xf52def6b67a7e8cfc2fcb8f870f46bbdbfeb4444,0.683100,43220492.14,9957,12741,11109,24144,10,159,2.42,1.89,0.87
96893068,0xdbae072d1dc179456454919909ff1bde0c460519e730b261d222c9321f0caef0,0x38d55fa973ba497e6e8c6efa723e197367444444,1.485000,50275162.63,18609,26205,22955,56057,25,1075,3.01,2.14,0.88
96915791,0x091072dcdff074e6f3c4476d7e09e4b23c78ce502c8b94d04907a8c62ab2966f,0x2320a067491f0785fa0dce9a884310e2456f4444,0.495000,71214584.02,4379,7620,6504,55029,383,475,12.57,7.22,0.85
96917072,0x73ca043f0d6dc8441bf1363f6754c2d27932c531584d4aff28d64f115f217616,0xcffef8f03611f748e1b3d408c9e0e4e81e544444,0.683100,44601106.63,9649,17148,12620,56084,249,631,5.81,3.27,0.74
96917171,0xecb0e4e9459a4495891e4539f790623a1c8e0c8bfe4363fb175579d6a62d9d4f,0xcffef8f03611f748e1b3d408c9e0e4e81e544444,0.049500,606644.30,51406,45535,19288,56084,150,364,1.09,1.23,0.42
96917642,0x7c25be3a179a28686f360f20a7a94abda3477b90cef798f9eff8100f913985b5,0x49478821f26e8515daa7fa8e9eee15f5d57e4444,0.683100,72725663.69,5917,10746,8901,12912,9,50,2.18,1.20,0.83
96920852,0xb3ac17114010b52257512ff707191c927a7b2912fac8c59dd28ce948096cce96,0x789d3335fd1995cbb7100c59c0ce1aa84d6d4444,0.683100,92417038.88,4657,10233,10233,10233,2,38,2.20,1.00,1.00
96921006,0xf180faa499a7adc62226dc2550240ce7e23946ae0fc49f74b0f532846e3d176e,0xe2b296db9c0c0854ed69f47eff434b54a7454444,0.683100,46713344.85,9213,14339,5278,25977,893,650,2.82,1.81,0.37
96922183,0x089140e63f637aa7aaed574cdc5fe0e869fd23d563146183ef2e47519d85f47f,0x8cb201a2ecdb6216a9d29d89834c2fdf19334444,0.683100,52724631.97,8162,15768,11569,17624,7,274,2.16,1.12,0.73
96925908,0x22bfbc65d2190ebce1309fdcf1202c0e03d242576b3317321b87e8935135d145,0x14af377c704afd9ad159e4853eb7456565f94444,2.970000,125597620.32,14898,51618,51618,56111,2,15,3.77,1.09,1.00
96925909,0x57a866a3d06ae3f06559338ca44c1b0ba9e1ecffbdb39bb761fb9c10c2dad145,0x14af377c704afd9ad159e4853eb7456565f94444,2.970000,82011925.30,22815,22815,22815,56111,1,11,2.46,2.46,1.00
96928579,0x298a0dcc1f2e07ce06fbc13de876304223e81432524ea962be5c8b32b9bd2c62,0x3a5bb79e187651e9383e4f0b33acef94cb4a4444,0.683100,40883406.25,10526,16669,6522,27330,265,272,2.60,1.64,0.39
97028411,0x5e2940a8054b8305b34af9ae101530e50a2b63d74e9490ad538d7f5a3ea2f1eb,0x61d6624ff5f522ccc3aba4f1ece23471fd1a4444,0.683100,21898956.51,19652,25998,23501,30961,8,739,1.58,1.19,0.90
97032409,0x70c1e73611ed37ccb1973c7b23748597cf3d4306be9156f58fbd6ac7507275cc,0xbf7e97b2ab688bbe7f3ae55e835325dc55024444,0.683100,87511752.12,4918,8681,8681,9969,1,122,2.03,1.15,1.00
97049372,0xa3c83f5fc85aaf526fd43a32abfd8b91b98786b3ba176c746a35b115201800b2,0x3ea4ee6f65632fe587806a2b0835d085ffbb4444,0.495000,79097496.11,3943,7201,6031,10285,29,84,2.61,1.43,0.84
97049696,0xa6f53a989ae821ca0539778a62d7d20e013c0093f7e87823d2753b0b3f3b0034,0x7e2c8dca5de50d75e27813dfeb09201dbc1e4444,0.683100,81928353.00,5253,9991,9991,10206,2,89,1.94,1.02,1.00
97066552,0x0add61793e28dde3e6528b90e5ec0e80a1a5b09ec3ac2d9fa79358f557f7f483,0x01c7e6a3f92be57ec903de40c6836fe58c2f4444,315.766101,65899768.48,3018715,4494523,2743162,7875379,479,235,2.61,1.75,0.61
97068453,0x741f136c0a1462e034de37ffa28e517cfa4aec58bfe86ebc3b2dcc7ce8275a1c,0xb21e86d936066fedc20c696d4583aef021da4444,0.683100,61700877.13,6975,10257,9119,12462,13,74,1.79,1.21,0.89
97068601,0x3c934ba5f7224626d7151fa0ae5b588a1b17239a569315119e7e08c16c0485f7,0x0c1d90bf3025e9f84b8c9d98042cde9505dd4444,0.990000,47824297.61,13041,12639,12639,20613,7,423,1.58,1.63,1.00
97068829,0x4d88b907298137282956842402b57bd9e386528c8368bbfce77fdac4f8252734,0xd45b4e2af8c5f426b475eb0f1d162ad40d884444,0.683100,106182827.85,4053,5866,5866,8618,28,52,2.13,1.47,1.00
97086639,0x1c783250c6aaff900c10be1003e37279ec0170184e2f4218549a318c2f77f79d,0x6d3730b42dfc2b7e189f538f41a79f59bfd04444,437.185852,55920476.84,4925335,7183630,5673263,25827799,2819,1578,5.24,3.60,0.79
97095475,0x6e68c8aa1a700ecc83d2318adfbd2d99f455c98028449a01eadbd8f384358456,0x4f4f762bf9da96f8fad5c73d96d95a2e81904444,0.495000,43754256.86,7127,11262,11262,12870,9,60,1.81,1.14,1.00
97111316,0xbd6a5ecadd9a4a5cc81a4dfd9419d03f7190410e1474c18afc85ba311537dc19,0x4c9c2832ad0f1b07158292b09c84579c95674444,0.683100,87391728.65,4924,7509,7509,8052,1,37,1.64,1.07,1.00
97111330,0x794dafcf2e955dd0ca7a3884edaae661dd8b09f953c236000eb6e8a5698aec12,0x4c9c2832ad0f1b07158292b09c84579c95674444,0.049500,4528584.34,6886,6801,6801,7103,2,22,1.03,1.04,1.00
97111398,0x0e0c0137b5ae83a780617287a9db0f6f3df5169025a040929e7526315763ee70,0x14dbf5b6f15f4e0236bb19d7f18ff02f7fd64444,1.287000,56878305.24,14255,34687,30225,55534,4,18,3.90,1.60,0.87
97111398,0xf833476562cf8db88761b516e225d0713ee149621b44730496520115da854007,0x14dbf5b6f15f4e0236bb19d7f18ff02f7fd64444,1.287000,35894378.96,22589,34687,30225,55534,4,18,2.46,1.60,0.87
97114386,0xf5295082511ffb163671abd599551686d65e87b0ccf88c3aff90fcff2ebd4858,0x7bd03856231791c085e66831e9cecb5451d94444,0.683100,64236262.16,6700,9440,9440,10487,1,72,1.57,1.11,1.00
97115200,0xeb74d3b0148a633a9f0b815094e88d94bcbada6b3ea58b1f34c4753941843047,0x6fb43d298dd833441ae30a76ee66d0f6e3be4444,0.683100,53426319.31,8055,13402,10803,19788,10,85,2.46,1.48,0.81
97115201,0xb2a465efc41752e3ccb7eed8ab93e2305bae90791646e4b697cf056adaca4f9c,0x6fb43d298dd833441ae30a76ee66d0f6e3be4444,0.683100,36869223.37,11672,10803,10803,19788,9,82,1.70,1.83,1.00
97115222,0xcb255db13cd479fbfb35c4f0d2298e7809d58a74be9af69b13d472cc006f2218,0x7c10c66015329a3a093447ef8cd208d6dcae4444,439.027935,82686136.68,3345030,5301293,5251867,15415567,24,236,4.61,2.91,0.99
97115223,0x4f1b1c23dd55e407d501bbfe8a00846622a8c6d411a530a630d33774f09885f3,0x7c10c66015329a3a093447ef8cd208d6dcae4444,438.998075,43940617.72,6294149,5502340,5251867,15415567,23,231,2.45,2.80,0.95
97124288,0x7840bc615cc5d9deb1f09a59186dcbf8527dc06d2649623612aa16903aacbe8e,0x25651229a3fb237ca349e628d9b2a63838f14444,0.683100,50382768.02,8542,9312,9312,12900,1,35,1.51,1.39,1.00
97248077,0xd269e0325786a321c7f0ce533f94c82abf2225c10bee1dd8722afe9fce69c777,0x75cdf4747f394d9779ad664ece40d7366e394444,0.683100,87877815.43,4897,6125,4710,55900,209,392,11.41,9.13,0.77
97248229,0xcbe78502873b13b8c45a3ffc872590692ee7b2bf75d86f08ebe58fe2cbe966e8,0x75cdf4747f394d9779ad664ece40d7366e394444,0.049500,836947.81,37260,37969,29000,55900,57,168,1.50,1.47,0.76
97265641,0xfe296d218e076d392a1d90bfc71a7137e912bd28ee6f026a082298f9d97efa0b,0x1c2cc463d5769c09c525a2ee8da797a411414444,0.683100,31496030.70,13664,20984,14551,30562,788,770,2.24,1.46,0.69
97266313,0x81c84bc744d14c2c8473f19ad8147f41c003e27a0e6f15a582532af47bbaba78,0xa6c483c0948ad0d24f0033b898653c2b0c854444,0.683100,85160308.99,5053,8388,8388,17604,40,223,3.48,2.10,1.00
97278930,0xc568bbb88d36b700219907b3cec9c4703cc26ece6dd9a8d1c94b4d426e05f392,0x7aa7b61be9099fd0cba6ed02585b4ffbcba44444,0.495000,53226575.84,5859,7939,7439,54734,1463,855,9.34,6.89,0.94
97280062,0x68e52bb75e4fe73f322d99317a177913a867ae3f4c8e128ffda6fd070995aaf0,0x7aa7b61be9099fd0cba6ed02585b4ffbcba44444,0.049500,713087.82,43732,43942,35340,54734,331,276,1.25,1.25,0.80
97288298,0x65099544f698d82ff2e62c25f023d5893546a84206182518a8e161e432e3a4c3,0x34cb6826a19c35127372890e0bf4a69c8a534444,0.683100,58631448.54,7340,10427,5570,14135,221,301,1.93,1.36,0.53
97419778,0xafb32e0e227f6e1f5b6c0896022fcd9773ed4106407d391ab658226bf48fd626,0x13f702763b36ec18be2811a0c7fc4aa574e54444,0.683100,59260338.59,7262,9736,8742,9876,174,27,1.36,1.01,0.90
97437554,0xc328b5fbf674c9b953b1a373b4ec04d42c80214adc066f01940d5e8c41b0a4fe,0xc89b35bedf4e02bd5f73f9e3044e653707304444,0.683100,90041853.76,4779,7196,6266,10173,51,85,2.13,1.41,0.87
97453526,0xc962d49fb5ea5b1d82cd35419ee7f5ab58c154be54ed26810a6e6c3a4a67083d,0xd9f2455561acd6187e574852f1bb16c016b34444,0.683100,53657252.47,8020,10892,10892,12064,2,115,1.50,1.11,1.00
97479103,0x6516a20e5a174e62751ee42fdb07788c91607861eb6db22d4820fed044fbbfa4,0x0c1d90bf3025e9f84b8c9d98042cde9505dd4444,0.683100,88682086.20,4853,6640,6200,9319,16,46,1.92,1.40,0.93
97495582,0x529340982773c71bfe6e11603c84714dd8437f7c93246390dbe6d2791996a828,0xb7f98359b287c6d40695b4055d60db692b234444,0.683100,99983801.61,4304,9243,9243,49268,62,647,11.45,5.33,1.00
97495582,0xdc81d27fedc26501eb99088ce757911f4928bd4a09207029f2fb24b2d7c30b7a,0xb7f98359b287c6d40695b4055d60db692b234444,0.683100,69045056.56,6233,9243,9243,49268,62,647,7.90,5.33,1.00
97495640,0xf3ef45dc84f38506492a7adf7fc26fd296eb8a8d3f9d91e133dd1baebbf3803f,0xb7f98359b287c6d40695b4055d60db692b234444,0.495000,8367867.59,37268,44087,44087,49268,4,381,1.32,1.12,1.00
97495916,0x2d69ecf262caff49d28c6adbd9093904a8c835cb85dce6f9e165c546b8be5555,0x305d46a5c2302f1ca066d1e5d61013a5a2894444,0.683100,89110938.14,4829,8099,5889,16990,97,224,3.52,2.10,0.73
97623541,0x4b8da1ab62bb8925192074ea8dec98f03ac9a65085f6355af589d49020910cb7,0x5177b93950833dd74569091fad3bfb3a1ab04444,0.683100,38464494.11,11188,30085,30085,54306,4,70,4.85,1.81,1.00
97623541,0x5d6ee13d01aa8a2fb7d6108fc79263275649db7ca3ebae2aeabc7a7d6d971a43,0x5177b93950833dd74569091fad3bfb3a1ab04444,0.683100,14264670.26,30169,30085,30085,54306,4,70,1.80,1.81,1.00
97627203,0xf7ff418d722bd36ec99d44debdc961cb5cc03d5a7b380a6bf7d89c5484e433b2,0xf07b42980cbfebb661bbf1d4432f54b053874444,0.495000,79097496.11,3943,7164,7164,13189,37,152,3.35,1.84,1.00
97627204,0xcdd30f004c75ed49750d4e127aa07da43d9063b188c002be96254a33d4294f6b,0xf07b42980cbfebb661bbf1d4432f54b053874444,0.495000,55981175.05,5571,8205,7876,13189,36,150,2.37,1.61,0.96
97646180,0x09d27cf91c0ce56cc7c45d5ebc73bd780bf7ffd2dac514d251769337b20735fe,0xb99680eb5da239ecba6798f2c3ee3b74b0764444,0.683100,39650623.81,10854,14349,13749,18983,10,150,1.75,1.32,0.96
97655040,0xb9391a1ac7240e2edddbdab68a6cd4cee35d7a2b8526d68fd9013e125d16a6bd,0xd94b9bc6a483450a4f3c72a3d2a0d8470a0e4444,0.683100,26664928.95,16139,24122,17495,31917,746,295,1.98,1.32,0.73
97655857,0x01a524975a5b381b00f44d1145e8045300b2c491da3a3ae097d56326ed02c810,0xfa33e56e11294ac0dcc7c8768dd5403089b84444,0.495000,67192786.12,4641,7316,7316,16725,249,385,3.60,2.29,1.00
97656314,0x4faa14387099e284242909e80f5b3d29c5e3203c20cc82fc49d40833d963ebd6,0x0816851d2ff7e24aa7f7bc9b67ce210ec9fb4444,0.683100,69610978.49,6182,10006,9017,12614,10,239,2.04,1.26,0.90
97656361,0x1ebb7c51bf4314c6e194d87c0a08dd91f5dcd7ac7d5ad08f778bd72e01081809,0xf1a8fec3d0dde76d9d0029c261f2e41b16f44444,0.683100,90391684.18,4761,6444,6444,8279,7,62,1.74,1.28,1.00
97659217,0x95a182a48b9d9be00dfe61380d4c772b4b9f380a73d37625b9464df0d6b47d9b,0x7efbc149b5cc4bcbaef9db1c83d82c8207e54444,0.683100,89110938.14,4829,8243,6935,11519,15,76,2.39,1.40,0.84
97664765,0x2c7181cd76cc68127f24a4ed963e1792154e7247a7fb6274bdcaa4fc9fd92a1c,0x3a57ff2d51636f633fc7133e8dabbf5269064444,0.683100,47452534.02,9069,15626,15626,16040,2,176,1.77,1.03,1.00
97667040,0x6758ef173f4bed63361f5eb9db2e72b86e9f0799c382e0f7785f362aec6b21f5,0x23faf69fc75f2e3f49c9fb470c246efde5894444,0.683100,85755302.19,5018,9604,7651,15960,34,217,3.18,1.66,0.80
97667067,0x9547aeb5b398ced51cc89e449f22cc75b6a274f6c7fea94599a17bd7e62abf73,0x16f024ae31462d1498cbb7d065fc7b09c45d4444,0.683100,30146040.60,14276,22590,12215,39180,292,788,2.74,1.73,0.54
97667330,0x7473358dd38ca9054220b12705358c5c018933d50ce6635e999426c00b30d288,0x16f024ae31462d1498cbb7d065fc7b09c45d4444,0.990000,21185255.71,29440,35395,35395,39180,29,468,1.33,1.11,1.00
97672226,0x633a9c7c9132d80e3195ba4b36bb2e9cbbaca0efc45ebff9a9298923b545a6c2,0xfb3d32dde94e97184d5008ec5ce610a60d514444,1.485000,33528782.59,27903,52151,52151,54960,2,10,1.97,1.05,1.00
97672226,0xacbcc9384f93defda18324f45338a0c7ff4e05619e79f27031e69312c0628281,0xfb3d32dde94e97184d5008ec5ce610a60d514444,1.485000,28409632.59,32931,52151,52151,54960,2,10,1.67,1.05,1.00
