d_block,d_token,d_tx,d_gas_gwei,d_idx,d_rank_in_buys,n_buy_txs,n_before,n_after,n_same_token_competitors,before_max_gas_gwei,after_max_gas_gwei
96683860,0xfc609c26ab53f813d3c163d833942a372cba4444,0x0d872af6dcef591ec11ef4cb600732ed236c80650d68e1730180397306841cac,7.00,104,3,4,3,0,0,7.00,0.00
96684872,0xac6c9a6d237af8fd16e1377fbde13bd9f9d44444,0xfc0d1f22a202f033b163c624620746d35e7b0d0d8ac74944d15c62a35daf9888,92.00,2,0,4,0,3,0,0.00,40.00
96685993,0x18ce97d189c0bb4b041380c49bd381842ac44444,0x51b7f080c1ee60015e4da6c4273da3dedddf3b5e0afa7b03d908b0a78f561343,7.00,1,0,4,0,3,0,0.00,5.00
96708031,0xeba859190bf2b9e94c27d1dcc63a68dc613a4444,0x3d0a90ff3064cd13d713d4fbb9b26c55566adb62602b92b131ee2899b66d0c65,92.00,5,1,4,1,2,0,137.00,89.00
96708811,0xfb236f587aa1bfcf04822388aee2883a1da14444,0xb8fa58f77274357264d2410503dc959f36ab7b3b09b447347766bbfc866dbd10,92.00,2,0,6,0,5,0,0.00,1.01
96708173,0x3efef415b6bc411df570d4e624c92807d28d4444,0xf073aa289fecd1384f1485906af3dcda7d075d69ab2d1138770eb86fd496fbd1,7.00,24,5,9,5,3,0,15.00,2.00
96815840,0xaed6160b2fd8735dee5a8a80a487f6f771404444,0xd3a5cdc23ce68e7bba55e1fa6ccd73da837c96145dc11d541e3b01b7f0731db8,7.00,1,0,1,0,0,0,0.00,0.00
96837780,0x5b30197a9383dd071247f60ebbf018f4d24e4444,0x0b6a29113d698b969c2990a062286d01c74fcf69725ce253027bac89c0b837e0,7.00,0,0,5,0,4,0,0.00,76.00
96684873,0xac6c9a6d237af8fd16e1377fbde13bd9f9d44444,0x54b589f2e86437916537eb2928a4f1adbbeb820a0366d0cf51d24a3355ebc625,92.00,8,2,7,2,4,0,120.00,10.00
96821587,0x8ed916bd7734a370a76b2da1aef3db38341e4444,0xb08fe2140ea9ae4c3e5cc4ea2170442bdd6fbe89d6b1cc1537a03c9b8a2e3ad6,7.00,1,0,4,0,3,0,0.00,7.00
96837710,0x5b30197a9383dd071247f60ebbf018f4d24e4444,0x845065247eef232c527c9fe4d97f826df5fd302498ec0b278ace6c833df6ffd1,92.00,3,0,1,0,0,0,0.00,0.00
96863370,0xaed20c65e299ec3927805bb0de1b07e389a14444,0xc51487888b492849f2055d3365703c6d44ef2a26b5e627ff40df965bb5be6555,7.00,0,0,3,0,2,0,0.00,0.12
96867022,0x406c203adbef18c3c5b4a1cf2654099768104444,0x313bfe8e01b10787251089a5917176801df8ebda5d7a9561dbdf12766d769bcc,7.00,67,0,1,0,0,0,0.00,0.00
96881958,0xcdbfbe07c8e2091260c9836d33851e9d89934444,0x601d24c84ec00db3736beaf98f8ca2a1dba1bb02c4549b75b8bb113c3541c1d9,92.00,2,0,4,0,3,0,0.00,10.00
96871884,0xd25718e0801d872cca1379d57ddc631b56e04444,0x1d683855c57da756dda00c150712ac692127d847a9c0215218e040c94b4c24c9,7.00,1,0,9,0,8,0,0.00,50.00
96915791,0x2320a067491f0785fa0dce9a884310e2456f4444,0x091072dcdff074e6f3c4476d7e09e4b23c78ce502c8b94d04907a8c62ab2966f,7.00,1,0,1,0,0,0,0.00,0.00
96893015,0xf52def6b67a7e8cfc2fcb8f870f46bbdbfeb4444,0x56687f9e9da80a6152e0cc7440e0f55db32852d719c76c92247cecd8dbc5e1e7,92.00,3,0,4,0,3,0,0.00,2.00
96892727,0x3ea823a8bc35894a41a3676165b1b50701b8ffff,0xa0962973381aa8f6e71fc06eed87750bc3b90d8438dd64f88bd5b3441feb4a79,7.00,3,1,4,1,2,0,20.00,0.12
96893068,0x38d55fa973ba497e6e8c6efa723e197367444444,0xdbae072d1dc179456454919909ff1bde0c460519e730b261d222c9321f0caef0,7.00,1,0,5,0,4,0,0.00,3.10
96917072,0xcffef8f03611f748e1b3d408c9e0e4e81e544444,0x73ca043f0d6dc8441bf1363f6754c2d27932c531584d4aff28d64f115f217616,92.00,2,0,2,0,1,0,0.00,0.06
96920852,0x789d3335fd1995cbb7100c59c0ce1aa84d6d4444,0xb3ac17114010b52257512ff707191c927a7b2912fac8c59dd28ce948096cce96,92.00,2,0,2,0,1,0,0.00,3.00
96917171,0xcffef8f03611f748e1b3d408c9e0e4e81e544444,0xecb0e4e9459a4495891e4539f790623a1c8e0c8bfe4363fb175579d6a62d9d4f,7.00,1,0,5,0,4,0,0.00,133.00
96917642,0x49478821f26e8515daa7fa8e9eee15f5d57e4444,0x7c25be3a179a28686f360f20a7a94abda3477b90cef798f9eff8100f913985b5,92.00,130,3,4,3,0,0,0.30,0.00
96892606,0xb1a3e0fd84a203e26c41c96a30ba110f7f874444,0x62d3e1d146290a9746bb5f1c3aae9688c6df14314af65daac202d44866533a0b,92.00,455,2,3,2,0,0,92.00,0.00
96922183,0x8cb201a2ecdb6216a9d29d89834c2fdf19334444,0x089140e63f637aa7aaed574cdc5fe0e869fd23d563146183ef2e47519d85f47f,7.00,6,0,6,0,5,0,0.00,0.12
96925908,0x14af377c704afd9ad159e4853eb7456565f94444,0x22bfbc65d2190ebce1309fdcf1202c0e03d242576b3317321b87e8935135d145,1200.00,100,13,15,13,1,0,100.00,15.00
96921006,0xe2b296db9c0c0854ed69f47eff434b54a7454444,0xf180faa499a7adc62226dc2550240ce7e23946ae0fc49f74b0f532846e3d176e,7.00,1,0,3,0,2,0,0.00,0.12
96925909,0x14af377c704afd9ad159e4853eb7456565f94444,0x57a866a3d06ae3f06559338ca44c1b0ba9e1ecffbdb39bb761fb9c10c2dad145,1200.00,2,0,14,0,13,0,0.00,1200.00
96892606,0xb1a3e0fd84a203e26c41c96a30ba110f7f874444,0x0fdf479a392d7b58b50325ef0dd5f67200960f7dece221d5cbb9997a71975de2,92.00,2,0,3,0,2,0,0.00,92.00
96928579,0x3a5bb79e187651e9383e4f0b33acef94cb4a4444,0x298a0dcc1f2e07ce06fbc13de876304223e81432524ea962be5c8b32b9bd2c62,92.00,2,0,1,0,0,0,0.00,0.00
97066552,0x01c7e6a3f92be57ec903de40c6836fe58c2f4444,0x0add61793e28dde3e6528b90e5ec0e80a1a5b09ec3ac2d9fa79358f557f7f483,7.00,2,0,2,0,1,0,0.00,3.00
97049372,0x3ea4ee6f65632fe587806a2b0835d085ffbb4444,0xa3c83f5fc85aaf526fd43a32abfd8b91b98786b3ba176c746a35b115201800b2,7.00,1,0,1,0,0,0,0.00,0.00
97028411,0x61d6624ff5f522ccc3aba4f1ece23471fd1a4444,0x5e2940a8054b8305b34af9ae101530e50a2b63d74e9490ad538d7f5a3ea2f1eb,7.00,1,0,3,0,2,0,0.00,0.12
97049696,0x7e2c8dca5de50d75e27813dfeb09201dbc1e4444,0xa6f53a989ae821ca0539778a62d7d20e013c0093f7e87823d2753b0b3f3b0034,7.00,2,0,2,0,1,0,0.00,2.00
97032409,0xbf7e97b2ab688bbe7f3ae55e835325dc55024444,0x70c1e73611ed37ccb1973c7b23748597cf3d4306be9156f58fbd6ac7507275cc,7.00,1,0,2,0,1,0,0.00,1.00
97086639,0x6d3730b42dfc2b7e189f538f41a79f59bfd04444,0x1c783250c6aaff900c10be1003e37279ec0170184e2f4218549a318c2f77f79d,7.00,2,0,1,0,0,0,0.00,0.00
97068829,0xd45b4e2af8c5f426b475eb0f1d162ad40d884444,0x4d88b907298137282956842402b57bd9e386528c8368bbfce77fdac4f8252734,7.00,4,1,2,1,0,0,0.06,0.00
97068453,0xb21e86d936066fedc20c696d4583aef021da4444,0x741f136c0a1462e034de37ffa28e517cfa4aec58bfe86ebc3b2dcc7ce8275a1c,7.00,1,0,4,0,3,0,0.00,1.00
97095475,0x4f4f762bf9da96f8fad5c73d96d95a2e81904444,0x6e68c8aa1a700ecc83d2318adfbd2d99f455c98028449a01eadbd8f384358456,7.00,69,0,1,0,0,0,0.00,0.00
97111316,0x4c9c2832ad0f1b07158292b09c84579c95674444,0xbd6a5ecadd9a4a5cc81a4dfd9419d03f7190410e1474c18afc85ba311537dc19,92.00,2,0,7,0,6,0,0.00,2.00
97114386,0x7bd03856231791c085e66831e9cecb5451d94444,0xf5295082511ffb163671abd599551686d65e87b0ccf88c3aff90fcff2ebd4858,7.00,2,1,2,1,0,0,10.00,0.00
97068601,0x0c1d90bf3025e9f84b8c9d98042cde9505dd4444,0x3c934ba5f7224626d7151fa0ae5b588a1b17239a569315119e7e08c16c0485f7,7.00,1,0,5,0,4,1,0.00,3.20
97111330,0x4c9c2832ad0f1b07158292b09c84579c95674444,0x794dafcf2e955dd0ca7a3884edaae661dd8b09f953c236000eb6e8a5698aec12,7.00,1,0,6,0,5,0,0.00,111.00
97111398,0x14dbf5b6f15f4e0236bb19d7f18ff02f7fd64444,0xf833476562cf8db88761b516e225d0713ee149621b44730496520115da854007,92.00,121,2,3,2,0,0,92.00,0.00
97111398,0x14dbf5b6f15f4e0236bb19d7f18ff02f7fd64444,0x0e0c0137b5ae83a780617287a9db0f6f3df5169025a040929e7526315763ee70,92.00,2,0,3,0,2,0,0.00,92.00
97115200,0x6fb43d298dd833441ae30a76ee66d0f6e3be4444,0xeb74d3b0148a633a9f0b815094e88d94bcbada6b3ea58b1f34c4753941843047,92.00,3,1,12,1,10,0,1200.00,88.88
97115222,0x7c10c66015329a3a093447ef8cd208d6dcae4444,0xcb255db13cd479fbfb35c4f0d2298e7809d58a74be9af69b13d472cc006f2218,92.00,3,0,7,0,6,0,0.00,88.00
97248229,0x75cdf4747f394d9779ad664ece40d7366e394444,0xcbe78502873b13b8c45a3ffc872590692ee7b2bf75d86f08ebe58fe2cbe966e8,7.00,2,0,1,0,0,0,0.00,0.00
97124288,0x25651229a3fb237ca349e628d9b2a63838f14444,0x7840bc615cc5d9deb1f09a59186dcbf8527dc06d2649623612aa16903aacbe8e,92.00,2,0,1,0,0,0,0.00,0.00
97115201,0x6fb43d298dd833441ae30a76ee66d0f6e3be4444,0xb2a465efc41752e3ccb7eed8ab93e2305bae90791646e4b697cf056adaca4f9c,92.00,6,3,10,3,6,1,321.00,10.00
97248077,0x75cdf4747f394d9779ad664ece40d7366e394444,0xd269e0325786a321c7f0ce533f94c82abf2225c10bee1dd8722afe9fce69c777,92.00,2,0,4,0,3,0,0.00,0.12
97278930,0x7aa7b61be9099fd0cba6ed02585b4ffbcba44444,0xc568bbb88d36b700219907b3cec9c4703cc26ece6dd9a8d1c94b4d426e05f392,7.00,1,0,1,0,0,0,0.00,0.00
97266313,0xa6c483c0948ad0d24f0033b898653c2b0c854444,0x81c84bc744d14c2c8473f19ad8147f41c003e27a0e6f15a582532af47bbaba78,92.00,2,0,1,0,0,0,0.00,0.00
97115223,0x7c10c66015329a3a093447ef8cd208d6dcae4444,0x4f1b1c23dd55e407d501bbfe8a00846622a8c6d411a530a630d33774f09885f3,92.00,3,0,9,0,8,0,0.00,10.00
97265641,0x1c2cc463d5769c09c525a2ee8da797a411414444,0xfe296d218e076d392a1d90bfc71a7137e912bd28ee6f026a082298f9d97efa0b,7.00,0,0,2,0,1,0,0.00,5.00
97288298,0x34cb6826a19c35127372890e0bf4a69c8a534444,0x65099544f698d82ff2e62c25f023d5893546a84206182518a8e161e432e3a4c3,7.00,1,0,2,0,1,0,0.00,1.80
97280062,0x7aa7b61be9099fd0cba6ed02585b4ffbcba44444,0x68e52bb75e4fe73f322d99317a177913a867ae3f4c8e128ffda6fd070995aaf0,7.00,94,0,1,0,0,0,0.00,0.00
97419778,0x13f702763b36ec18be2811a0c7fc4aa574e54444,0xafb32e0e227f6e1f5b6c0896022fcd9773ed4106407d391ab658226bf48fd626,7.00,1,0,1,0,0,0,0.00,0.00
97453526,0xd9f2455561acd6187e574852f1bb16c016b34444,0xc962d49fb5ea5b1d82cd35419ee7f5ab58c154be54ed26810a6e6c3a4a67083d,92.00,2,0,9,0,8,1,0.00,51.00
97479103,0x0c1d90bf3025e9f84b8c9d98042cde9505dd4444,0x6516a20e5a174e62751ee42fdb07788c91607861eb6db22d4820fed044fbbfa4,7.00,2,0,2,0,1,0,0.00,0.12
97437554,0xc89b35bedf4e02bd5f73f9e3044e653707304444,0xc328b5fbf674c9b953b1a373b4ec04d42c80214adc066f01940d5e8c41b0a4fe,92.00,2,0,2,0,1,0,0.00,0.12
97495582,0xb7f98359b287c6d40695b4055d60db692b234444,0x529340982773c71bfe6e11603c84714dd8437f7c93246390dbe6d2791996a828,92.00,2,0,7,0,6,0,0.00,92.00
97627203,0xf07b42980cbfebb661bbf1d4432f54b053874444,0xf7ff418d722bd36ec99d44debdc961cb5cc03d5a7b380a6bf7d89c5484e433b2,7.00,1,0,1,0,0,0,0.00,0.00
97495640,0xb7f98359b287c6d40695b4055d60db692b234444,0xf3ef45dc84f38506492a7adf7fc26fd296eb8a8d3f9d91e133dd1baebbf3803f,7.00,6,2,7,2,4,0,10.00,0.60
97655040,0xd94b9bc6a483450a4f3c72a3d2a0d8470a0e4444,0xb9391a1ac7240e2edddbdab68a6cd4cee35d7a2b8526d68fd9013e125d16a6bd,7.00,25,0,3,0,2,0,0.00,88.00
97623541,0x5177b93950833dd74569091fad3bfb3a1ab04444,0x5d6ee13d01aa8a2fb7d6108fc79263275649db7ca3ebae2aeabc7a7d6d971a43,92.00,114,20,24,20,3,0,321.00,0.12
97495582,0xb7f98359b287c6d40695b4055d60db692b234444,0xdc81d27fedc26501eb99088ce757911f4928bd4a09207029f2fb24b2d7c30b7a,92.00,61,3,7,3,3,0,92.00,25.00
97627204,0xf07b42980cbfebb661bbf1d4432f54b053874444,0xcdd30f004c75ed49750d4e127aa07da43d9063b188c002be96254a33d4294f6b,7.00,4,1,10,1,8,0,48.88,116.00
97623541,0x5177b93950833dd74569091fad3bfb3a1ab04444,0x4b8da1ab62bb8925192074ea8dec98f03ac9a65085f6355af589d49020910cb7,92.00,2,0,24,0,23,0,0.00,321.00
97655857,0xfa33e56e11294ac0dcc7c8768dd5403089b84444,0x01a524975a5b381b00f44d1145e8045300b2c491da3a3ae097d56326ed02c810,7.00,1,0,1,0,0,0,0.00,0.00
97495916,0x305d46a5c2302f1ca066d1e5d61013a5a2894444,0x2d69ecf262caff49d28c6adbd9093904a8c835cb85dce6f9e165c546b8be5555,92.00,2,0,3,0,2,0,0.00,2.00
97656314,0x0816851d2ff7e24aa7f7bc9b67ce210ec9fb4444,0x4faa14387099e284242909e80f5b3d29c5e3203c20cc82fc49d40833d963ebd6,92.00,2,0,3,0,2,0,0.00,0.12
97656361,0xf1a8fec3d0dde76d9d0029c261f2e41b16f44444,0x1ebb7c51bf4314c6e194d87c0a08dd91f5dcd7ac7d5ad08f778bd72e01081809,7.00,1,0,1,0,0,0,0.00,0.00
97659217,0x7efbc149b5cc4bcbaef9db1c83d82c8207e54444,0x95a182a48b9d9be00dfe61380d4c772b4b9f380a73d37625b9464df0d6b47d9b,92.00,2,0,1,0,0,0,0.00,0.00
97646180,0xb99680eb5da239ecba6798f2c3ee3b74b0764444,0x09d27cf91c0ce56cc7c45d5ebc73bd780bf7ffd2dac514d251769337b20735fe,7.00,1,0,3,0,2,0,0.00,0.12
97667040,0x23faf69fc75f2e3f49c9fb470c246efde5894444,0x6758ef173f4bed63361f5eb9db2e72b86e9f0799c382e0f7785f362aec6b21f5,92.00,3,0,5,0,4,0,0.00,3.00
97664765,0x3a57ff2d51636f633fc7133e8dabbf5269064444,0x2c7181cd76cc68127f24a4ed963e1792154e7247a7fb6274bdcaa4fc9fd92a1c,92.00,3,0,4,0,3,0,0.00,4.10
97667067,0x16f024ae31462d1498cbb7d065fc7b09c45d4444,0x9547aeb5b398ced51cc89e449f22cc75b6a274f6c7fea94599a17bd7e62abf73,7.00,10,2,3,2,0,0,7.00,0.00
97680065,0x15e566cbe69035ed452d86821a2db77579714444,0xcfb9031da2bff0636cb805140a9ced69e0e180e62938efe6bf6e21ac458c6414,92.00,2,0,2,0,1,0,0.00,0.10
97667330,0x16f024ae31462d1498cbb7d065fc7b09c45d4444,0x7473358dd38ca9054220b12705358c5c018933d50ce6635e999426c00b30d288,7.00,1,0,1,0,0,0,0.00,0.00
97672226,0xfb3d32dde94e97184d5008ec5ce610a60d514444,0xacbcc9384f93defda18324f45338a0c7ff4e05619e79f27031e69312c0628281,92.00,24,1,4,1,2,0,92.00,277.00
97672226,0xfb3d32dde94e97184d5008ec5ce610a60d514444,0x633a9c7c9132d80e3195ba4b36bb2e9cbbaca0efc45ebff9a9298923b545a6c2,92.00,2,0,4,0,3,0,0.00,277.00
97673350,0x057cee2a4d3458121bd84179e83d7cea35e04444,0xc72243a7d44bd1b93d4e79bc53ae0f08d6987bdcf3cfba66254744ecbb797efb,7.00,5,0,4,0,3,0,0.00,3.00
97683924,0x2d636f87e73f31532aa4d81049917238ac9b4444,0x25b7319d5e0c0a4ec2690778ec6924b5510d2204e2bdd5c8827ce058430e7762,92.00,83,9,10,9,0,0,366.00,0.00
97675259,0x180ebbf447539381d33c306b881828046ff94444,0x8764ebdeaa883033da2da3a1d67b59c1463633c183fef1dac88cac5cf28e1b03,7.00,177,13,16,13,2,0,2.00,0.12
97683890,0x52b5ec3ed4428a8c9323e57f3ae4386522c14444,0x7986b6b5ebfa7ab150987e68b0be5c4270dad2eaaf47dcc4a54246408e978f62,92.00,2,0,5,0,4,0,0.00,2.00
97675288,0x3997eea48106d8995ce214d7581e80d528444444,0xe861152db05c0a52d3e27cd6ce488bd33a3eeff95286dc862c28fab44a789f01,7.00,53,6,9,6,2,0,3.00,0.12
97683923,0x870e4ac6d7ea93b059b61a6dbadba5282def4444,0x28172def440bb22379b164c5fc72722b21d4a7a1ba907d560960e14f47333229,92.00,2,0,2,0,1,0,0.00,0.10
97687984,0x7b622113f96109e2121fdd319ece221e52ec4444,0x70224b36e511e5b48a197b62bddc5425532b635ae0d174a385bf1e7b6c136713,92.00,2,0,14,0,13,0,0.00,135.00
97687989,0xf9271bfe52aed80eed321e3e4253efd721584444,0x774bf856aaaaec8106bdbb61d0660f4801918e8b23addc1582ba4a5df4844953,92.00,2,0,22,0,21,0,0.00,105.00
97687989,0xf9271bfe52aed80eed321e3e4253efd721584444,0xfd0ca87b839158931a3f01ddcc0efdf4c7e27bd20e7e8219c41038dcfab92ee5,92.00,4,1,22,1,20,0,92.00,105.00
97687989,0xf9271bfe52aed80eed321e3e4253efd721584444,0xb704871c09ace04a0ab6ad640050d93340187a386980317542b3b4ae3e02eef3,92.00,6,2,22,2,19,0,92.00,105.00
97688000,0xea2a54aedfc18f8b190d954e1550c640ecda4444,0x49c23ceed8e4bd6c62dc60bc824bc5bf7af46006fbbf6de1f64f4ea1d6a68909,92.00,2,0,10,0,9,0,0.00,50.00
97688015,0xea2a54aedfc18f8b190d954e1550c640ecda4444,0xef40462fa8580eb4a991e9c7959e0b745e76488f76024a726410f81623b88cd7,92.00,2,0,12,0,11,0,0.00,1.20
97977897,0x14c0a7b1e7fb41528de0711c811b55ab3bba4444,0xd42e8a40d25db4767cdd25c788b8e1feda72fabb0709a79e042371cf53b3303a,7.00,2,0,1,0,0,0,0.00,0.00
97884172,0xdf790e8f05be6a83abd827d33f994cad3fad4444,0x2651e6f8dc2cbc74c973b9b998e34ec95aa89400e97ab672429041352df86c08,92.00,3,0,2,0,1,0,0.00,0.06
97884174,0xdf790e8f05be6a83abd827d33f994cad3fad4444,0xc598611c0cf06938ff7bbf5ee41435e0fca011eef5836a2f8aff8108b4649d8c,92.00,2,0,2,0,1,0,0.00,22.00
97976641,0x446f1ca9ac47f99a514c77c3f796ea374c904444,0x63407c03f8d162ba5fc838afb23f1a94fbbdb33dcbe327e0500fd6565e4ee92b,7.00,118,1,2,1,0,0,0.12,0.00
97978409,0x5f6768d92e965852c82ed8c8b7529d9b09974444,0xbfc8885ab39eeca1e79d56c12318230b7b7d9b9506154db4f5fcc528c1e0a8d3,7.00,3,0,2,0,1,0,0.00,0.12
98031464,0x4d14f5c56b0e71ae5c4cced6939e448e2a584444,0x5d027e8a724b6912c9fecab28b6cd7dd58f1f159d12df31996ae9fea476ffafc,92.00,4,0,2,0,1,0,0.00,0.12
98018679,0x0eeae29384f2ed6c0c6be04e2b2727967bba4444,0x6974bd8a996c921b42cb7c78e7608a725cb9bf7b20c56b9566c77d604ea9d1ab,7.00,103,5,6,5,0,0,202.00,0.00
98031465,0x2dbc62750a1896fb6bbdd0cf9fcb2f66361c4444,0x0cf85ad19a800adc102b49dcd485d4e0aeeeb848accd83008cc4e1b4fc31d505,92.00,128,12,13,12,0,0,92.00,0.00
